cod_estacion;valor_coeficiente_pp
1001;0.0073
1002;0.009886
1003;0.007476
1004;0.01087
1005;0.008174
1006;0.002872
1007;0.010758
1008;0.007929
1010;0.010639
1011;0.010415
1012;0.008781
1013;0.006603
1014;0.003774
1015;0.01345
1018;0.012089
1019;0.009382
1020;0.010796
1027;0.011846
1028;0.008864
1029;0.008814
1030;0.015171
1034;0.018268
1035;0.015172
1036;0.016539
1040;0.016831
1045;0.002565
1050;0.008401
1051;0.007816
1052;0.008797
1009;0.004659
1016;0.00797
1017;0.010654
1021;0.006289
1022;0.009528
1023;0.014244
1024;0.010819
1025;0.019647
1026;0.068425
1031;0.009829
1032;0.017255
1033;0.019215
1037;0.037745
1038;0.029537
1039;0.088075
1041;0.027796
1042;0.025233
1043;0.045184
1047;0.003977
1048;0.000701
1049;0.000206
1053;0.01259
1055;0.006876
1056;0.01461
1057;0.008935
1058;0.005851
1059;0.021287
1060;0.005795
1061;0.047614
1062;0.005922
1063;0.056173
1073;0.0095
1074;0.009159
1075;0.010769
1076;0.010279
1077;0.010379
1078;0.016997
